pid,year,shape_score,shape_flag,shape_direction,shape_reasons,has_episode
AOI-0011,2021,0.4560975550438377,False,сильнее нормы,средний Z +1.7; суммарная вегетация 126% нормы; амплитуда 0.67,False
AOI-0011,2022,0.3840729511641509,False,слабее нормы,амплитуда 0.67; дней ниже нормы 4%; пик сдвинут на +6 дн.,False
AOI-0011,2023,0.38436109100997956,False,сильнее нормы,суммарная вегетация 121% нормы; средний Z +0.6; дней ниже нормы 0%,False
AOI-0011,2024,0.478775663621888,False,сильнее нормы,спад сдвинут на +62 дн.; старт роста сдвинут на +24 дн.; пик сдвинут на +34 дн.,True
AOI-0011,2025,0.38712291496054746,False,слабее нормы,пик сдвинут на -25 дн.; амплитуда 0.65; спад сдвинут на -19 дн.,True
AOI-0012,2010,0.3772043018038747,False,сильнее нормы,средний Z +0.5; дней ниже нормы 0%; пик сдвинут на +8 дн.,False
AOI-0012,2011,0.3836948345032566,False,сильнее нормы,средний Z +0.6; дней ниже нормы 3%; пик сдвинут на +7 дн.,False
AOI-0012,2012,0.4985138989720373,False,слабее нормы,пик 49% нормы; амплитуда 0.12; суммарная вегетация 70% нормы,True
AOI-0012,2013,0.3981454969010349,False,сильнее нормы,средний Z +0.8; дней ниже нормы 0%; спад сдвинут на -24 дн.,False
AOI-0012,2014,0.40794856888915876,False,слабее нормы,средний Z -0.5; спад сдвинут на +18 дн.; амплитуда 0.62,True
AOI-0012,2015,0.5055266428113097,False,слабее нормы,пик 46% нормы; амплитуда 0.12; суммарная вегетация 63% нормы,True
AOI-0012,2016,0.39797040207890355,False,сильнее нормы,средний Z +0.9; дней ниже нормы 0%; суммарная вегетация 112% нормы,False
AOI-0012,2017,0.38640126418202836,False,слабее нормы,пик сдвинут на +19 дн.; дней ниже нормы 0%; спад сдвинут на +9 дн.,False
AOI-0012,2018,0.38812728182336603,False,слабее нормы,амплитуда 0.65; дней ниже нормы 25%; средний Z -0.3,False
AOI-0012,2019,0.3759325014023718,False,сильнее нормы,амплитуда 0.61; суммарная вегетация 111% нормы; пик 128% нормы,True
AOI-0012,2020,0.4117668406321832,False,слабее нормы,пик сдвинут на -39 дн.; амплитуда 0.63; средний Z -0.4,True
AOI-0012,2021,0.478130327867372,False,слабее нормы,пик 56% нормы; дней ниже нормы 46%; амплитуда 0.20,True
AOI-0012,2022,0.4140486283416958,False,сильнее нормы,суммарная вегетация 125% нормы; средний Z +0.8; амплитуда 0.66,False
AOI-0012,2023,0.38756092645225326,False,сильнее нормы,амплитуда 0.66; суммарная вегетация 116% нормы; дней ниже нормы 0%,False
AOI-0012,2024,0.4062035995235729,False,слабее нормы,дней ниже нормы 32%; амплитуда 0.67; средний Z -0.3,True
AOI-0012,2025,0.3978190709369368,False,слабее нормы,средний Z -0.6; суммарная вегетация 83% нормы; дней ниже нормы 23%,True
AOI-0013,2010,0.6451491037535573,True,слабее нормы,спад сдвинут на -121 дн.; дней ниже нормы 66%; пик сдвинут на -66 дн.,True
AOI-0013,2011,0.47711596567470316,False,слабее нормы,дней ниже нормы 51%; средний Z -0.8; старт роста сдвинут на +22 дн.,True
AOI-0013,2012,0.455645455884451,False,слабее нормы,старт роста сдвинут на -21 дн.; амплитуда 0.34; спад сдвинут на -28 дн.,True
AOI-0013,2013,0.49784537033790255,False,сильнее нормы,старт роста сдвинут на +51 дн.; спад сдвинут на -45 дн.; амплитуда 0.29,False
AOI-0013,2014,0.5925448052831725,True,слабее нормы,спад сдвинут на -84 дн.; пик сдвинут на -62 дн.; дней ниже нормы 49%,True
AOI-0013,2015,0.4041422004418381,False,слабее нормы,амплитуда 0.35; дней ниже нормы 25%; средний Z -0.4,False
AOI-0013,2016,0.5493680611416919,True,сильнее нормы,пик сдвинут на +68 дн.; спад сдвинут на +66 дн.; средний Z +1.2,False
AOI-0013,2017,0.4042311703242166,False,сильнее нормы,амплитуда 0.29; средний Z +0.4; дней ниже нормы 1%,False
AOI-0013,2018,0.6265377335568384,True,слабее нормы,пик сдвинут на +69 дн.; спад сдвинут на +71 дн.; дней ниже нормы 51%,True
AOI-0013,2019,0.49882762945056697,False,сильнее нормы,спад сдвинут на +81 дн.; пик сдвинут на +45 дн.; амплитуда 0.27,False
AOI-0013,2020,0.43534585744839466,False,слабее нормы,амплитуда 0.18; спад сдвинут на +23 дн.; пик сдвинут на +19 дн.,True
